Series_Title,Released_Year,Actor_Id
The Shawshank Redemption,1994,0
The Shawshank Redemption,1994,1
The Shawshank Redemption,1994,2
The Shawshank Redemption,1994,3
The Godfather,1972,4
The Godfather,1972,5
The Godfather,1972,6
The Godfather,1972,7
The Dark Knight,2008,8
The Dark Knight,2008,9
The Dark Knight,2008,10
The Dark Knight,2008,11
The Godfather: Part II,1974,5
The Godfather: Part II,1974,12
The Godfather: Part II,1974,13
The Godfather: Part II,1974,7
12 Angry Men,1957,14
12 Angry Men,1957,15
12 Angry Men,1957,16
12 Angry Men,1957,17
The Lord of the Rings: The Return of the King,2003,18
The Lord of the Rings: The Return of the King,2003,19
The Lord of the Rings: The Return of the King,2003,20
The Lord of the Rings: The Return of the King,2003,21
Pulp Fiction,1994,22
Pulp Fiction,1994,23
Pulp Fiction,1994,24
Pulp Fiction,1994,25
Schindler's List,1993,26
Schindler's List,1993,27
Schindler's List,1993,28
Schindler's List,1993,29
Inception,2010,30
Inception,2010,31
Inception,2010,32
Inception,2010,33
Fight Club,1999,34
Fight Club,1999,35
Fight Club,1999,36
Fight Club,1999,37
The Lord of the Rings: The Fellowship of the Ring,2001,18
The Lord of the Rings: The Fellowship of the Ring,2001,20
The Lord of the Rings: The Fellowship of the Ring,2001,21
The Lord of the Rings: The Fellowship of the Ring,2001,38
Forrest Gump,1994,39
Forrest Gump,1994,40
Forrest Gump,1994,41
Forrest Gump,1994,42
"Il buono, il brutto, il cattivo",1966,43
"Il buono, il brutto, il cattivo",1966,44
"Il buono, il brutto, il cattivo",1966,45
"Il buono, il brutto, il cattivo",1966,46
The Lord of the Rings: The Two Towers,2002,18
The Lord of the Rings: The Two Towers,2002,20
The Lord of the Rings: The Two Towers,2002,19
The Lord of the Rings: The Two Towers,2002,21
The Matrix,1999,47
The Matrix,1999,48
The Matrix,1999,49
The Matrix,1999,50
Goodfellas,1990,12
Goodfellas,1990,51
Goodfellas,1990,52
Goodfellas,1990,53
Star Wars: Episode V - The Empire Strikes Back,1980,54
Star Wars: Episode V - The Empire Strikes Back,1980,55
Star Wars: Episode V - The Empire Strikes Back,1980,56
Star Wars: Episode V - The Empire Strikes Back,1980,57
One Flew Over the Cuckoo's Nest,1975,58
One Flew Over the Cuckoo's Nest,1975,59
One Flew Over the Cuckoo's Nest,1975,60
One Flew Over the Cuckoo's Nest,1975,61
Hamilton,2020,62
Hamilton,2020,63
Hamilton,2020,64
Hamilton,2020,65
Gisaengchung,2019,66
Gisaengchung,2019,67
Gisaengchung,2019,68
Gisaengchung,2019,69
Soorarai Pottru,2020,70
Soorarai Pottru,2020,71
Soorarai Pottru,2020,72
Soorarai Pottru,2020,73
Interstellar,2014,74
Interstellar,2014,75
Interstellar,2014,76
Interstellar,2014,77
Cidade de Deus,2002,78
Cidade de Deus,2002,79
Cidade de Deus,2002,80
Cidade de Deus,2002,81
Sen to Chihiro no kamikakushi,2001,82
Sen to Chihiro no kamikakushi,2001,83
Sen to Chihiro no kamikakushi,2001,84
Sen to Chihiro no kamikakushi,2001,85
Saving Private Ryan,1998,39
Saving Private Ryan,1998,86
Saving Private Ryan,1998,87
Saving Private Ryan,1998,88
The Green Mile,1999,39
The Green Mile,1999,89
The Green Mile,1999,90
The Green Mile,1999,91
La vita è bella,1997,92
La vita è bella,1997,93
La vita è bella,1997,94
La vita è bella,1997,95
Se7en,1995,1
Se7en,1995,34
Se7en,1995,96
Se7en,1995,97
The Silence of the Lambs,1991,98
The Silence of the Lambs,1991,99
The Silence of the Lambs,1991,100
The Silence of the Lambs,1991,101
Star Wars,1977,54
Star Wars,1977,55
Star Wars,1977,56
Star Wars,1977,102
Seppuku,1962,103
Seppuku,1962,104
Seppuku,1962,105
Seppuku,1962,106
Shichinin no samurai,1954,107
Shichinin no samurai,1954,108
Shichinin no samurai,1954,109
Shichinin no samurai,1954,110
It's a Wonderful Life,1946,111
It's a Wonderful Life,1946,112
It's a Wonderful Life,1946,113
It's a Wonderful Life,1946,114
Joker,2019,115
Joker,2019,12
Joker,2019,116
Joker,2019,117
Whiplash,2014,118
Whiplash,2014,119
Whiplash,2014,120
Whiplash,2014,121
The Intouchables,2011,122
The Intouchables,2011,123
The Intouchables,2011,124
The Intouchables,2011,125
The Prestige,2006,8
The Prestige,2006,126
The Prestige,2006,127
The Prestige,2006,11
The Departed,2006,30
The Departed,2006,86
The Departed,2006,58
The Departed,2006,128
The Pianist,2002,129
The Pianist,2002,130
The Pianist,2002,131
The Pianist,2002,132
Gladiator,2000,133
Gladiator,2000,115
Gladiator,2000,134
Gladiator,2000,135
American History X,1998,35
American History X,1998,136
American History X,1998,137
American History X,1998,138
The Usual Suspects,1995,96
The Usual Suspects,1995,139
The Usual Suspects,1995,140
The Usual Suspects,1995,141
Léon,1994,142
Léon,1994,143
Léon,1994,144
Léon,1994,145
The Lion King,1994,146
The Lion King,1994,147
The Lion King,1994,148
The Lion King,1994,149
Terminator 2: Judgment Day,1991,150
Terminator 2: Judgment Day,1991,151
Terminator 2: Judgment Day,1991,136
Terminator 2: Judgment Day,1991,152
Nuovo Cinema Paradiso,1988,153
Nuovo Cinema Paradiso,1988,154
Nuovo Cinema Paradiso,1988,155
Nuovo Cinema Paradiso,1988,156
Hotaru no haka,1988,157
Hotaru no haka,1988,158
Hotaru no haka,1988,159
Hotaru no haka,1988,160
Back to the Future,1985,161
Back to the Future,1985,162
Back to the Future,1985,163
Back to the Future,1985,164
Once Upon a Time in the West,1968,14
Once Upon a Time in the West,1968,165
Once Upon a Time in the West,1968,166
Once Upon a Time in the West,1968,167
Psycho,1960,168
Psycho,1960,169
Psycho,1960,170
Psycho,1960,171
Casablanca,1942,172
Casablanca,1942,173
Casablanca,1942,174
Casablanca,1942,175
Modern Times,1936,176
Modern Times,1936,177
Modern Times,1936,178
Modern Times,1936,179
City Lights,1931,176
City Lights,1931,180
City Lights,1931,181
City Lights,1931,182
Capharnaüm,2018,183
